Ngày;Lần cuối
24/11/2023;91200
23/11/2023;90800
22/11/2023;93000
21/11/2023;91900
20/11/2023;90700
17/11/2023;91000
16/11/2023;93000
15/11/2023;92400
14/11/2023;92600
13/11/2023;91400
10/11/2023;91500
9/11/2023;92500
8/11/2023;92600
7/11/2023;88300
6/11/2023;88500
3/11/2023;87000
2/11/2023;89000
1/11/2023;85400
31/10/2023;83000
30/10/2023;85000
27/10/2023;87000
26/10/2023;86800
25/10/2023;90900
24/10/2023;92000
23/10/2023;91000
20/10/2023;92900
19/10/2023;92000
18/10/2023;93000
17/10/2023;93100
16/10/2023;96800
13/10/2023;96100
12/10/2023;96400
11/10/2023;97000
10/10/2023;96300
9/10/2023;95600
6/10/2023;92700
5/10/2023;91600
4/10/2023;92500
3/10/2023;92200
2/10/2023;93200
29/09/2023;92800
28/09/2023;94000
27/09/2023;94300
26/09/2023;93500
25/09/2023;94300
22/09/2023;96700
21/09/2023;96800
20/09/2023;98500
19/09/2023;98400
18/09/2023;96900
15/09/2023;97500
14/09/2023;95900
13/09/2023;98000
12/9/2023;98900
11/9/2023;97400
8/9/2023;97600
7/9/2023;97900
6/9/2023;99000
5/9/2023;96800
31/08/2023;96700
30/08/2023;96600
29/08/2023;93600
28/08/2023;94000
25/08/2023;90600
24/08/2023;90000
23/08/2023;86500
22/08/2023;86500
21/08/2023;85900
18/08/2023;85500
17/08/2023;86000
16/08/2023;85100
15/08/2023;84000
14/08/2023;82600
11/8/2023;82000
10/8/2023;82200
9/8/2023;83100
8/8/2023;84200
7/8/2023;84500
4/8/2023;83300
3/8/2023;83700
2/8/2023;83500
1/8/2023;84500
31/07/2023;85600
28/07/2023;84400
27/07/2023;83700
26/07/2023;82700
25/07/2023;81300
24/07/2023;81000
21/07/2023;81000
20/07/2023;80300
19/07/2023;78500
18/07/2023;78700
17/07/2023;79000
14/07/2023;78300
13/07/2023;75800
12/7/2023;75300
11/7/2023;75000
10/7/2023;75300
7/7/2023;75300
6/7/2023;74600
5/7/2023;74800
4/7/2023;87000
3/7/2023;86400
30/06/2023;86000
29/06/2023;86500
28/06/2023;87000
27/06/2023;87300
26/06/2023;85800
23/06/2023;85100
22/06/2023;85500
21/06/2023;85800
20/06/2023;85500
19/06/2023;84700
16/06/2023;84500
15/06/2023;84100
14/06/2023;84200
13/06/2023;84400
12/6/2023;84900
9/6/2023;84600
8/6/2023;83600
7/6/2023;85000
6/6/2023;85300
5/6/2023;85000
2/6/2023;83800
1/6/2023;83500
31/05/2023;84100
30/05/2023;84000
29/05/2023;83100
26/05/2023;83100
25/05/2023;83200
24/05/2023;81300
23/05/2023;82000
22/05/2023;82500
19/05/2023;82800
18/05/2023;82900
17/05/2023;81500
16/05/2023;81500
15/05/2023;81000
12/5/2023;80500
11/5/2023;79100
10/5/2023;79000
9/5/2023;78900
8/5/2023;78500
5/5/2023;78400
4/5/2023;78500
28/04/2023;77500
27/04/2023;78300
26/04/2023;78300
25/04/2023;78400
24/04/2023;79100
21/04/2023;79300
20/04/2023;79400
19/04/2023;79300
18/04/2023;79400
17/04/2023;79600
14/04/2023;79600
13/04/2023;79600
12/4/2023;80300
11/4/2023;80300
10/4/2023;80300
7/4/2023;80500
6/4/2023;80300
5/4/2023;80600
4/4/2023;80500
3/4/2023;80900
31/03/2023;79100
30/03/2023;79100
29/03/2023;79000
28/03/2023;79200
27/03/2023;79100
24/03/2023;78600
23/03/2023;78000
22/03/2023;78500
21/03/2023;78100
20/03/2023;77600
17/03/2023;79000
16/03/2023;79200
15/03/2023;80500
14/03/2023;78700
13/03/2023;78900
10/3/2023;79500
9/3/2023;80600
8/3/2023;79500
7/3/2023;78800
6/3/2023;78200
3/3/2023;78500
2/3/2023;80000
1/3/2023;80500
28/02/2023;80500
27/02/2023;80300
24/02/2023;80800
23/02/2023;81400
22/02/2023;81800
21/02/2023;82800
20/02/2023;82800
17/02/2023;81600
16/02/2023;81600
15/02/2023;81600
14/02/2023;80800
13/02/2023;80700
10/2/2023;80700
9/2/2023;80700
8/2/2023;81200
7/2/2023;80700
6/2/2023;80500
3/2/2023;80100
2/2/2023;81900
1/2/2023;82000
31/01/2023;83500
30/01/2023;83700
